GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cmsApp,com.Castro.cmsApp.parameters.controllers,DepartmentController,0,50,0,0,0,11,0,6,0,6
cmsApp,com.Castro.cmsApp.parameters.controllers,ModuleController,0,5,0,0,0,2,0,2,0,2
cmsApp,com.Castro.cmsApp.parameters.controllers,SupplierController,0,81,0,0,0,17,0,7,0,7
cmsApp,com.Castro.cmsApp.parameters.controllers,ClientController,0,81,0,0,0,17,0,7,0,7
cmsApp,com.Castro.cmsApp.parameters.controllers,CountryController,8,131,1,1,2,29,3,7,2,7
cmsApp,com.Castro.cmsApp.parameters.controllers,ContactController,0,52,0,0,0,13,0,7,0,7
cmsApp,com.Castro.cmsApp.parameters.controllers,StateController,0,66,0,0,0,15,0,7,0,7
cmsApp,com.Castro.cmsApp.parameters.controllers,LocationController,0,79,0,0,0,17,0,7,0,7
cmsApp,com.Castro.cmsApp.helpdesk.models,Ticket,477,39,94,0,12,2,73,2,26,2
cmsApp,com.Castro.cmsApp.helpdesk.models,TicketStatus,30,3,6,0,1,1,7,1,4,1
cmsApp,com.Castro.cmsApp.parameters.models,Country,308,32,61,1,7,3,48,3,17,3
cmsApp,com.Castro.cmsApp.parameters.models,State,308,32,61,1,7,3,48,3,17,3
cmsApp,com.Castro.cmsApp.parameters.models,Contact,314,8,55,1,8,2,46,2,18,2
cmsApp,com.Castro.cmsApp.parameters.models,Location,389,38,77,1,9,3,60,3,21,3
cmsApp,com.Castro.cmsApp.parameters.models,Client,574,8,103,1,14,2,82,2,30,2
cmsApp,com.Castro.cmsApp.parameters.models,Supplier,574,8,103,1,14,2,82,2,30,2
cmsApp,com.Castro.cmsApp.parameters.models,Department,229,8,39,1,6,2,34,2,14,2
cmsApp,com.Castro.cmsApp.parameters.models,CommonObject,41,3,0,0,15,2,8,1,8,1
cmsApp,com.Castro.cmsApp.parameters.models,Module,30,3,6,0,1,1,7,1,4,1
cmsApp,com.Castro.cmsApp.security.services,MyUserDetailsService,17,3,2,0,4,1,2,1,1,1
cmsApp,com.Castro.cmsApp.security.services,UserService,0,35,0,0,0,8,0,5,0,5
cmsApp,com.Castro.cmsApp.security.services,RoleService,0,97,0,2,0,20,0,11,0,10
cmsApp,com.Castro.cmsApp.reports,ReportsController,0,33,0,0,0,11,0,6,0,6
cmsApp,com.Castro.cmsApp.parameters.restapis,CountryRestController,0,12,0,0,0,3,0,2,0,2
cmsApp,com.Castro.cmsApp.cars.services,VehicleModelService,0,25,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.services,VehicleMaintenanceService,0,28,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.services,VehicleService,0,28,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.services,VehicleMovementService,0,28,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.services,VehicleStatusService,0,25,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.services,VehicleTypeService,0,25,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.services,VehicleHireService,0,28,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.services,VehicleMakeService,0,25,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.hr.models,JobTitle,25,8,5,1,0,2,6,2,3,2
cmsApp,com.Castro.cmsApp.hr.models,EmployeeStatus,25,8,5,1,0,2,6,2,3,2
cmsApp,com.Castro.cmsApp.hr.models,Person,941,3,174,0,23,1,134,1,47,1
cmsApp,com.Castro.cmsApp.hr.models,EmployeeType,25,8,5,1,0,2,6,2,3,2
cmsApp,com.Castro.cmsApp.hr.models,Employee,310,8,61,1,7,2,48,2,17,2
cmsApp,com.Castro.cmsApp.helpdesk.controllers,TicketController,0,60,0,0,0,16,0,6,0,6
cmsApp,com.Castro.cmsApp.helpdesk.controllers,TicketStatusController,0,34,0,0,0,10,0,5,0,5
cmsApp,com.Castro.cmsApp.accounts.models,Transaction,706,8,135,1,17,2,105,2,37,2
cmsApp,com.Castro.cmsApp.accounts.models,InvoiceStatus,30,3,6,0,1,1,7,1,4,1
cmsApp,com.Castro.cmsApp.accounts.models,TransactionStatus,30,3,6,0,1,1,7,1,4,1
cmsApp,com.Castro.cmsApp.accounts.models,TransactionType,25,8,5,1,0,2,6,2,3,2
cmsApp,com.Castro.cmsApp.accounts.models,Invoice,334,8,61,1,8,2,49,2,18,2
cmsApp,com.Castro.cmsApp.helpdesk.services,TicketStatusService,0,28,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.helpdesk.services,TicketService,0,28,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.controllers,VehicleHireController,0,84,0,0,0,22,0,7,0,7
cmsApp,com.Castro.cmsApp.cars.controllers,VehicleMakeController,0,34,0,0,0,10,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.controllers,VehicleController,6,112,0,0,2,27,1,6,1,6
cmsApp,com.Castro.cmsApp.cars.controllers,VehicleStatusController,0,34,0,0,0,10,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.controllers,VehicleMaintenanceController,0,74,0,0,0,20,0,7,0,7
cmsApp,com.Castro.cmsApp.cars.controllers,VehicleModelController,0,34,0,0,0,10,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.controllers,VehicleTypeController,0,34,0,0,0,10,0,5,0,5
cmsApp,com.Castro.cmsApp.cars.controllers,VehicleMovementController,0,81,0,0,0,21,0,7,0,7
cmsApp,com.Castro.cmsApp.security,SpringSecurityAuditorAware,0,21,0,2,0,4,0,4,0,3
cmsApp,com.Castro.cmsApp,ApplicationSecurityConfig,0,37,0,0,0,11,0,5,0,5
cmsApp,com.Castro.cmsApp,ApplicationController,0,21,0,0,0,10,0,10,0,10
cmsApp,com.Castro.cmsApp,CmsAppApplication,0,12,0,0,0,4,0,3,0,3
cmsApp,com.Castro.cmsApp.hr.services,EmployeeStatusService,0,28,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.hr.services,EmployeeService,0,41,0,0,0,11,0,7,0,7
cmsApp,com.Castro.cmsApp.hr.services,JobTitleService,0,28,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.hr.services,EmployeeTypeService,0,28,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.parameters.services,ContactService,0,28,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.parameters.services,LocationService,0,30,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.parameters.services,SupplierService,0,28,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.parameters.services,ClientService,0,28,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.parameters.services,StateService,0,31,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.parameters.services,DepartmentService,0,28,0,0,0,7,0,5,0,5
cmsApp,com.Castro.cmsApp.parameters.services,CountryService,0,83,0,2,0,16,0,10,0,9
cmsApp,com.Castro.cmsApp.hr.controllers,EmployeeController,0,140,0,0,0,32,0,10,0,10
cmsApp,com.Castro.cmsApp.hr.controllers,JobTitleController,0,36,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.hr.controllers,EmployeeStatusController,0,36,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.hr.controllers,EmployeeTypeController,0,36,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.accounts.services,TransactionStatusService,0,28,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.accounts.services,TransactionTypeService,0,28,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.accounts.services,InvoiceService,0,31,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.accounts.services,InvoiceStatusService,0,28,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.accounts.services,TransactionService,0,31,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.security.controllers,UserController,0,65,0,0,0,15,0,4,0,4
cmsApp,com.Castro.cmsApp.security.controllers,SecurityController,0,11,0,0,0,5,0,5,0,5
cmsApp,com.Castro.cmsApp.security.controllers,RoleController,0,52,0,0,0,15,0,7,0,7
cmsApp,com.Castro.cmsApp.cars.models,VehicleMovement,397,8,61,1,11,2,55,2,24,2
cmsApp,com.Castro.cmsApp.cars.models,VehicleMaintenance,404,8,71,1,10,2,58,2,22,2
cmsApp,com.Castro.cmsApp.cars.models,VehicleType,30,3,6,0,1,1,7,1,4,1
cmsApp,com.Castro.cmsApp.cars.models,VehicleHire,577,8,103,1,14,2,82,2,30,2
cmsApp,com.Castro.cmsApp.cars.models,VehicleMake,30,3,6,0,1,1,7,1,4,1
cmsApp,com.Castro.cmsApp.cars.models,VehicleStatus,30,3,6,0,1,1,7,1,4,1
cmsApp,com.Castro.cmsApp.cars.models,VehicleModel,30,3,6,0,1,1,7,1,4,1
cmsApp,com.Castro.cmsApp.cars.models,Vehicle,967,8,175,1,23,2,136,2,48,2
cmsApp,com.Castro.cmsApp.accounts.controllers,InvoiceController,0,43,0,0,0,12,0,6,0,6
cmsApp,com.Castro.cmsApp.accounts.controllers,TransactionController,0,99,0,0,0,22,0,7,0,7
cmsApp,com.Castro.cmsApp.accounts.controllers,InvoiceStatusController,0,31,0,0,0,8,0,5,0,5
cmsApp,com.Castro.cmsApp.accounts.controllers,TransactionTypeController,0,36,0,0,0,9,0,5,0,5
cmsApp,com.Castro.cmsApp.accounts.controllers,TransactionStatusController,33,3,0,0,8,1,4,1,4,1
cmsApp,com.Castro.cmsApp.security.models,Role,0,44,0,0,0,7,0,9,0,9
cmsApp,com.Castro.cmsApp.security.models,UserPrincipal,0,49,0,2,0,14,0,9,0,8
cmsApp,com.Castro.cmsApp.security.models,Auditable,0,31,0,0,0,13,0,9,0,9
cmsApp,com.Castro.cmsApp.security.models,User,42,265,30,24,0,10,24,21,0,18
